Topic,Count,Name,Representation,Representative_Docs
47,55,47_treatment_speech_aos_apraxia speech,"['treatment', 'speech', 'aos', 'apraxia speech', 'apraxia', 'cas', 'untreated', 'ultrasound', 'articulation', 'words']",
48,54,48_matter_white_white matter_structural,"['matter', 'white', 'white matter', 'structural', 'gray', 'gray matter', 'gm', 'changes', 'brain', 'microstructural']",
49,54,49_exercise_bout_acute_single bout,"['exercise', 'bout', 'acute', 'single bout', 'aerobic', 'retention', 'aerobic exercise', 'consolidation', 'acute exercise', 'cardiovascular']",
50,54,50_strategy_retrieval_older adults_older,"['strategy', 'retrieval', 'older adults', 'older', 'shift', 'adults', 'age differences', 'skill acquisition', 'information', 'age']",
51,52,51_robot_robots_human_impedance,"['robot', 'robots', 'human', 'impedance', 'compliant', 'policy', 'manipulation', 'assembly', 'controller', 'control']",
52,51,52_pps_body_space_peripersonal,"['pps', 'body', 'space', 'peripersonal', 'peripersonal space', 'multisensory', 'ownership', 'tactile', 'illusion', 'rubber']",
53,49,53_variability_exploration_motor variability_noise,"['variability', 'exploration', 'motor variability', 'noise', 'rewardbased', 'reward', 'structure', 'movement variability', 'trialtotrial', 'learning rate']",
54,48,54_adaptation_cerebellar_patients_prism,"['adaptation', 'cerebellar', 'patients', 'prism', 'cerebellum', 'prism adaptation', 'ataxia', 'visuomotor', 'controls', 'degeneration']",
55,48,55_activity_neuronal_neural_monkeys,"['activity', 'neuronal', 'neural', 'monkeys', 'neurons', 'population', 'cortical', 'activity patterns', 'motor cortex', 'monkey']",
56,45,56_myoelectric_prosthesis_control_interface,"['myoelectric', 'prosthesis', 'control', 'interface', 'user', 'interfaces', 'users', 'prostheses', 'emg', 'myoelectric control']",
57,44,57_dcd_developmental coordination_coordination disorder_children dcd,"['dcd', 'developmental coordination', 'coordination disorder', 'children dcd', 'disorder', 'children', 'developmental', 'coordination', 'disorder dcd', 'children developmental']",
58,43,58_bdnf_polymorphism_val66met_genetic,"['bdnf', 'polymorphism', 'val66met', 'genetic', 'comt', 'bdnf val66met', 'polymorphisms', 'val66met polymorphism', 'genotype', 'dopamine']",
59,43,59_architecture_model_modular_control,"['architecture', 'model', 'modular', 'control', 'models', 'primitives', 'computational', 'optimal', 'sensorimotor', 'imitation']",
60,42,60_tongue_jaw_oral_masseter,"['tongue', 'jaw', 'oral', 'masseter', 'corticomotor', 'meps', 'orofacial', 'muscles', 'training', 'muscle']",
61,41,61_dyslexia_children_dd_developmental dyslexia,"['dyslexia', 'children', 'dd', 'developmental dyslexia', 'developmental', 'reading', 'sli', 'dyslexic', 'procedural', 'readers']",
62,40,62_striatal_cholinergic_striatum_interneurons,"['striatal', 'cholinergic', 'striatum', 'interneurons', 'cholinergic interneurons', 'neurons', 'corticostriatal', 'synaptic', 'dopamine', 'receptors']",
63,40,63_autism_asd_autistic_autism spectrum,"['autism', 'asd', 'autistic', 'autism spectrum', 'spectrum', 'children autism', 'children', 'spectrum disorder', 'disorder', 'social']",
64,40,64_analogy_instruction_instructions_explicit,"['analogy', 'instruction', 'instructions', 'explicit', 'analogy instruction', 'analogy learning', 'analogy instructions', 'performance', 'explicit instructions', 'implicit']",
65,39,65_cpr_chest_resuscitation_compression,"['cpr', 'chest', 'resuscitation', 'compression', 'bls', 'compressions', 'life support', 'basic life', 'chest compression', 'manikin']",
66,38,66_expectancies_autonomy_optimal theory_enhanced expectancies,"['expectancies', 'autonomy', 'optimal theory', 'enhanced expectancies', 'choice', 'autonomy support', 'ee', 'optimal', 'motivation', 'enhanced']",
67,37,67_examples_worked_instructional_worked examples,"['examples', 'worked', 'instructional', 'worked examples', 'problem', 'explanations', 'solving', 'problemsolving', 'problem solving', 'learners']",
68,37,68_synergies_synergy_muscle_control,"['synergies', 'synergy', 'muscle', 'control', 'hypothesis', 'uncontrolled', 'modules', 'muscles', 'manifold', 'motor control']",
69,36,69_anticipation_players_skilled_information,"['anticipation', 'players', 'skilled', 'information', 'contextual information', 'lessskilled', 'anticipatory', 'soccer', 'perceptualcognitive', 'recall']",
70,36,70_handwriting_writing_letter_reading,"['handwriting', 'writing', 'letter', 'reading', 'letters', 'typing', 'children', 'tablet', 'recognition', 'childrens']",
71,35,71_ml_selfefficacy_therapists_motor learning,"['ml', 'selfefficacy', 'therapists', 'motor learning', 'physical', 'education', 'physical therapists', 'implementation', 'practice', 'principles']",
72,35,72_itbs_ctbs_tbs_theta burst,"['itbs', 'ctbs', 'tbs', 'theta burst', 'theta', 'burst', 'burst stimulation', 'stimulation', 'm1', 'intermittent']",
73,34,73_recovery_stroke_motor recovery_ischemic,"['recovery', 'stroke', 'motor recovery', 'ischemic', 'infarct', 'plasticity', 'reorganization', 'brain', 'neural plasticity', 'injury']",
74,34,74_cerebellar_cerebellum_cerebellar function_timing,"['cerebellar', 'cerebellum', 'cerebellar function', 'timing', 'cognition', 'functions', 'function', 'hypothesis', 'cerebellar cortex', 'model']",
75,34,75_abstract available_sep abstract_abstract_available,"['abstract available', 'sep abstract', 'abstract', 'available', 'motor control', 'reinforcement', 'final', 'motor learning', 'control motor', 'chapter']",
76,33,76_massed_massed practice_rest_sec,"['massed', 'massed practice', 'rest', 'sec', 'distributed practice', 'practice', 'distributed', 'distribution practice', 'distribution', 'psycinfinityo database']",
77,33,77_gait_biofeedback_feedback_gait training,"['gait', 'biofeedback', 'feedback', 'gait training', 'realtime', 'gait retraining', 'cadence', 'retraining', 'symmetry', 'poststroke']",
78,33,78_aiming_tremor_afferent information_movement,"['aiming', 'tremor', 'afferent information', 'movement', 'movements', 'visual', 'information', 'hand', 'eye', 'afferent']",
79,32,79_mvf_mirror_observation_action observation,"['mvf', 'mirror', 'observation', 'action observation', 'ao', 'action', 'therapy', 'stroke', 'patients', 'hand']",
80,31,80_quiet eye_quiet_eye_qe,"['quiet eye', 'quiet', 'eye', 'qe', 'gaze', 'duration', 'focus', 'putting', 'throw', 'throwing']",
81,31,81_coordination_relative phase_pattern_bimanual,"['coordination', 'relative phase', 'pattern', 'bimanual', '90', 'bimanual coordination', 'phase', 'coordination pattern', 'relative', 'coordination dynamics']",
82,31,82_selfcontrolled_yoked_selfcontrol_selfcontrolled feedback,"['selfcontrolled', 'yoked', 'selfcontrol', 'selfcontrolled feedback', 'feedback', 'sc', 'selfcontrolled practice', 'yoked group', 'feedback schedules', 'learners']",
83,31,83_dopamine_m1_striatal_dopaminergic,"['dopamine', 'm1', 'striatal', 'dopaminergic', 'vta', 'striatum', 'da', 'neurons', 'd1', 'pd']",
84,31,84_deliberate practice_deliberate_practice_music,"['deliberate practice', 'deliberate', 'practice', 'music', 'expertise', 'sport', 'embodied', 'expert', 'performers', 'philosophy']",
85,30,85_rtms_stroke_nibs_stimulation,"['rtms', 'stroke', 'nibs', 'stimulation', 'repetitive transcranial', 'transcranial', 'transcranial magnetic', 'magnetic stimulation', 'stroke patients', 'patients']",
86,29,86_sonification_movement sonification_auditory_sound,"['sonification', 'movement sonification', 'auditory', 'sound', 'movement', 'information', 'sounds', 'realtime', 'characters', 'perception']",
87,28,87_feedback_auditory feedback_auditory_augmented,"['feedback', 'auditory feedback', 'auditory', 'augmented', 'augmented feedback', 'visual feedback', 'visual', 'af', 'audio', 'concurrent']",
88,28,88_myelin_myelination_oligodendrocytes_oligodendrocyte,"['myelin', 'myelination', 'oligodendrocytes', 'oligodendrocyte', 'neuronal activity', 'neuronal', 'nervous', 'cns', 'plasticity', 'adult']",
89,28,89_ataxia_cerebellar_degenerative_cerebellar ataxia,"['ataxia', 'cerebellar', 'degenerative', 'cerebellar ataxia', 'patients', 'cerebellar disease', 'cerebellum', 'spinocerebellar', 'symptoms', 'disease']",
90,27,90_neglect_prism_prism adaptation_prisms,"['neglect', 'prism', 'prism adaptation', 'prisms', 'adaptation', 'rightward', 'spatial', 'leftward', 'pa', 'visual']",
91,25,91_stroke_implicit_explicit_implicit motor,"['stroke', 'implicit', 'explicit', 'implicit motor', 'patients', 'chronic', 'motor learning', 'learning', 'poststroke', 'explicit motor']",
92,25,92_speech_stuttering_stutter_pws,"['speech', 'stuttering', 'stutter', 'pws', 'speech motor', 'syllables', 'adults stutter', 'fluent', 'aws', 'pns']",
93,24,93_conditional_associations_arbitrary_monkeys,"['conditional', 'associations', 'arbitrary', 'monkeys', 'premotor', 'mappings', 'premotor cortex', 'cortex', 'visuomotor', 'prefrontal']",
94,24,94_gaba_gaba levels_levels_glx,"['gaba', 'gaba levels', 'levels', 'glx', 'resonance spectroscopy', 'neurochemical', 'spectroscopy', 'magnetic resonance', 'resonance', 'mrs']",
95,24,95_rats_forelimb_reaching_mice,"['rats', 'forelimb', 'reaching', 'mice', 'automated', 'pellet', 'rotarod', 'skilled', 'rodents', 'rodent']",
96,23,96_glur2_glutamate_glutamate receptor_receptor,"['glur2', 'glutamate', 'glutamate receptor', 'receptor', 'cells', 'purkinje cells', 'expressed', 'synapses', 'domain', 'purkinje']",
97,23,97_schema_schema theory_theory_1975,"['schema', 'schema theory', 'theory', '1975', 'variability practice', 'variability', 'practice', 'variable', 'transfer', 'discrete motor']",
98,22,98_haptic_device_rehabilitation_robotic,"['haptic', 'device', 'rehabilitation', 'robotic', 'rendering', 'hand', 'virtual', 'design', 'robot', 'compensation']",
99,22,99_memory_reconsolidation_interference_retrieval,"['memory', 'reconsolidation', 'interference', 'retrieval', 'memories', 'reactivation', 'motor memory', 'memory trace', 'memory retrieval', 'trace']",
100,22,100_children_cp_cerebral palsy_palsy,"['children', 'cp', 'cerebral palsy', 'palsy', 'children cp', 'children cerebral', 'cerebral', 'game', 'intervention', 'cit']",
101,21,101_cerebellar_spiking_model_cerebellum,"['cerebellar', 'spiking', 'model', 'cerebellum', 'neural', 'artificial', 'network', 'realtime', 'vor', 'network model']",
102,20,102_cognitive restructuring_restructuring_cbt_cognitive,"['cognitive restructuring', 'restructuring', 'cbt', 'cognitive', 'dp', 'cognitive flexibility', 'depression', 'flexibility', 'therapy', 'deliberate practice']",
103,20,103_balance_balance task_balance training_confidence,"['balance', 'balance task', 'balance training', 'confidence', 'balance tasks', 'training', 'task', 'st', 'adults', 'falling']",
104,20,104_coop_occupational performance_occupational_cognitive orientation,"['coop', 'occupational performance', 'occupational', 'cognitive orientation', 'orientation daily', 'daily occupational', 'performance coop', 'orientation', 'children', 'approach']",
105,20,105_exoskeleton_ankle_assistance_soleus,"['exoskeleton', 'ankle', 'assistance', 'soleus', 'powered', 'walking', 'muscle', 'orthosis', 'gait', 'exoskeletons']",
106,20,106_game_games_expertise_cognitive science,"['game', 'games', 'expertise', 'cognitive science', 'video', 'priority', 'cognitive', 'data', 'video games', 'players']",
107,20,107_interpolated_recall_shortterm motor_shortterm,"['interpolated', 'recall', 'shortterm motor', 'shortterm', 'location', 'criterion', 'biasing', 'motor memory', 'interval', 'memory']",
108,20,108_children_developmental coordination_coordination disorder_dcd,"['children', 'developmental coordination', 'coordination disorder', 'dcd', 'disorder', 'children developmental', 'developmental', 'intervention', 'coordination', 'taskoriented']",
109,19,109_foxp2_language_expression_transcription,"['foxp2', 'language', 'expression', 'transcription', 'gene', 'speech language', 'speech', 'vocal', 'mutations', 'mutation']",
110,19,110_postural_anticipatory postural_anticipatory_apas,"['postural', 'anticipatory postural', 'anticipatory', 'apas', 'postural control', 'arm', 'unloading', 'adjustments', 'standing', 'forearm']",
111,19,111_tdcs_ctdcs_cerebellar tdcs_anodal,"['tdcs', 'ctdcs', 'cerebellar tdcs', 'anodal', 'cerebellar', 'cerebellar transcranial', 'direct current', 'stimulation', 'transcranial direct', 'current stimulation']",
112,19,112_consolidation_memory_hippocampal_breaks,"['consolidation', 'memory', 'hippocampal', 'breaks', 'memory consolidation', 'rest', 'offline', 'hippocampus', 'motor memory', 'reactivation']",
113,19,113_biofeedback_wearable_feedback_vibrotactile,"['biofeedback', 'wearable', 'feedback', 'vibrotactile', 'realtime', 'balance', 'biomechanical', 'homebased', 'sensing', 'exercises']",
114,19,114_lurcher_mutants_mice_mutant,"['lurcher', 'mutants', 'mice', 'mutant', 'mutant mice', 'equilibrium', 'cerebellar', 'mice sep', 'degeneration', 'rotorod']",
115,19,115_goal_goal setting_setting_goals,"['goal', 'goal setting', 'setting', 'goals', 'selfefficacy', 'motivation', 'selfcontrolled', 'assigned', 'anxiety', 'trait']",
116,18,116_injury_plasticity_spinal cord_cord,"['injury', 'plasticity', 'spinal cord', 'cord', 'spinal', 'recovery', 'cortical', 'cord injury', 'reorganization', 'following']",
117,17,117_adhd_ts_sequence_gains,"['adhd', 'ts', 'sequence', 'gains', 'procedural', 'consolidation', 'consolidation phase', 'children', 'memory', 'procedural memory']",
118,17,118_language_automatization_l2_automaticity,"['language', 'automatization', 'l2', 'automaticity', 'grammar', 'practice', 'second', 'theory', 'comprehension', 'massed']",
119,16,119_reward_punishment_reward punishment_rewards,"['reward', 'punishment', 'reward punishment', 'rewards', 'motivation', 'motor skill', 'monetary', 'reinforcement', 'choice', 'left arm']",
120,16,120_tacs_alternating current_transcranial alternating_hz,"['tacs', 'alternating current', 'transcranial alternating', 'hz', 'alternating', 'oscillatory', 'stimulation', 'sham', 'current stimulation', 'stimulation tacs']",
121,16,121_noradrenergic_excitability_placebo_plasticity,"['noradrenergic', 'excitability', 'placebo', 'plasticity', 'norepinephrine', 'drugs', 'dose', 'usedependent', 'cortical excitability', 'usedependent plasticity']",
122,16,122_transfer_effectors_interlimb_interlimb transfer,"['transfer', 'effectors', 'interlimb', 'interlimb transfer', 'distal', 'limbs', 'proximal', 'leg', 'bimanual', 'asymmetric']",
123,16,123_ballistic_unilateral_transfer_bilateral,"['ballistic', 'unilateral', 'transfer', 'bilateral', 'ballistic motor', 'untrained', 'strength', 'crosseducation', 'intermanual transfer', 'older']",
124,16,124_cerebellar_cerebellum_aphasia_stimulation,"['cerebellar', 'cerebellum', 'aphasia', 'stimulation', 'meg', 'neuromodulation', 'cerebellar stimulation', 'noninvasive', 'transcranial direct', 'tdcs']",
125,16,125_stereotype_threat_stereotype threat_gender,"['stereotype', 'threat', 'stereotype threat', 'gender', 'performance learning', 'st', 'negative', 'girls', 'participants', 'worse']",
126,16,126_voice_voice therapy_therapy_vocal,"['voice', 'voice therapy', 'therapy', 'vocal', 'biofeedback', 'behaviors', 'ambulatory', 'clinical', 'classification', 'clinicians']",
