topic_id,words,scores
47,treatment | speech | aos | apraxia speech | apraxia | cas | untreated | ultrasound | articulation | words,0.0719 | 0.0663 | 0.0370 | 0.0367 | 0.0359 | 0.0219 | 0.0212 | 0.0203 | 0.0198 | 0.0185
48,matter | white | white matter | structural | gray | gray matter | gm | changes | brain | microstructural,0.0540 | 0.0395 | 0.0388 | 0.0308 | 0.0263 | 0.0255 | 0.0209 | 0.0200 | 0.0192 | 0.0182
49,exercise | bout | acute | single bout | aerobic | retention | aerobic exercise | consolidation | acute exercise | cardiovascular,0.0852 | 0.0332 | 0.0296 | 0.0203 | 0.0203 | 0.0199 | 0.0192 | 0.0181 | 0.0177 | 0.0166
50,strategy | retrieval | older adults | older | shift | adults | age differences | skill acquisition | information | age,0.0575 | 0.0461 | 0.0341 | 0.0340 | 0.0313 | 0.0300 | 0.0271 | 0.0203 | 0.0194 | 0.0190
51,robot | robots | human | impedance | compliant | policy | manipulation | assembly | controller | control,0.0842 | 0.0417 | 0.0386 | 0.0314 | 0.0262 | 0.0237 | 0.0236 | 0.0217 | 0.0207 | 0.0170
52,pps | body | space | peripersonal | peripersonal space | multisensory | ownership | tactile | illusion | rubber,0.0756 | 0.0682 | 0.0652 | 0.0551 | 0.0530 | 0.0462 | 0.0426 | 0.0318 | 0.0256 | 0.0255
53,variability | exploration | motor variability | noise | rewardbased | reward | structure | movement variability | trialtotrial | learning rate,0.0594 | 0.0387 | 0.0284 | 0.0217 | 0.0163 | 0.0141 | 0.0138 | 0.0137 | 0.0127 | 0.0122
54,adaptation | cerebellar | patients | prism | cerebellum | prism adaptation | ataxia | visuomotor | controls | degeneration,0.0328 | 0.0287 | 0.0245 | 0.0211 | 0.0190 | 0.0176 | 0.0176 | 0.0165 | 0.0144 | 0.0140
55,activity | neuronal | neural | monkeys | neurons | population | cortical | activity patterns | motor cortex | monkey,0.0314 | 0.0270 | 0.0225 | 0.0199 | 0.0190 | 0.0167 | 0.0166 | 0.0150 | 0.0141 | 0.0140
56,myoelectric | prosthesis | control | interface | user | interfaces | users | prostheses | emg | myoelectric control,0.0558 | 0.0360 | 0.0326 | 0.0265 | 0.0247 | 0.0242 | 0.0222 | 0.0218 | 0.0190 | 0.0183
57,dcd | developmental coordination | coordination disorder | children dcd | disorder | children | developmental | coordination | disorder dcd | children developmental,0.1055 | 0.0510 | 0.0494 | 0.0464 | 0.0458 | 0.0458 | 0.0400 | 0.0348 | 0.0260 | 0.0167
58,bdnf | polymorphism | val66met | genetic | comt | bdnf val66met | polymorphisms | val66met polymorphism | genotype | dopamine,0.0785 | 0.0715 | 0.0504 | 0.0340 | 0.0296 | 0.0294 | 0.0286 | 0.0273 | 0.0255 | 0.0247
59,architecture | model | modular | control | models | primitives | computational | optimal | sensorimotor | imitation,0.0291 | 0.0283 | 0.0264 | 0.0245 | 0.0228 | 0.0205 | 0.0196 | 0.0189 | 0.0168 | 0.0168
60,tongue | jaw | oral | masseter | corticomotor | meps | orofacial | muscles | training | muscle,0.0699 | 0.0504 | 0.0391 | 0.0333 | 0.0287 | 0.0265 | 0.0257 | 0.0188 | 0.0164 | 0.0161
61,dyslexia | children | dd | developmental dyslexia | developmental | reading | sli | dyslexic | procedural | readers,0.0653 | 0.0413 | 0.0371 | 0.0365 | 0.0337 | 0.0322 | 0.0321 | 0.0314 | 0.0299 | 0.0236
62,striatal | cholinergic | striatum | interneurons | cholinergic interneurons | neurons | corticostriatal | synaptic | dopamine | receptors,0.0702 | 0.0607 | 0.0595 | 0.0469 | 0.0406 | 0.0327 | 0.0321 | 0.0311 | 0.0281 | 0.0273
63,autism | asd | autistic | autism spectrum | spectrum | children autism | children | spectrum disorder | disorder | social,0.0871 | 0.0586 | 0.0466 | 0.0329 | 0.0302 | 0.0296 | 0.0272 | 0.0259 | 0.0230 | 0.0194
64,analogy | instruction | instructions | explicit | analogy instruction | analogy learning | analogy instructions | performance | explicit instructions | implicit,0.1178 | 0.0415 | 0.0383 | 0.0375 | 0.0323 | 0.0292 | 0.0230 | 0.0165 | 0.0165 | 0.0157
65,cpr | chest | resuscitation | compression | bls | compressions | life support | basic life | chest compression | manikin,0.1041 | 0.0492 | 0.0491 | 0.0458 | 0.0438 | 0.0418 | 0.0320 | 0.0319 | 0.0280 | 0.0276
66,expectancies | autonomy | optimal theory | enhanced expectancies | choice | autonomy support | ee | optimal | motivation | enhanced,0.0477 | 0.0436 | 0.0351 | 0.0335 | 0.0300 | 0.0250 | 0.0240 | 0.0234 | 0.0231 | 0.0228
67,examples | worked | instructional | worked examples | problem | explanations | solving | problemsolving | problem solving | learners,0.1206 | 0.0688 | 0.0637 | 0.0616 | 0.0488 | 0.0416 | 0.0383 | 0.0367 | 0.0361 | 0.0361
68,synergies | synergy | muscle | control | hypothesis | uncontrolled | modules | muscles | manifold | motor control,0.0413 | 0.0262 | 0.0246 | 0.0215 | 0.0209 | 0.0184 | 0.0172 | 0.0167 | 0.0160 | 0.0157
69,anticipation | players | skilled | information | contextual information | lessskilled | anticipatory | soccer | perceptualcognitive | recall,0.0964 | 0.0384 | 0.0383 | 0.0336 | 0.0327 | 0.0296 | 0.0276 | 0.0244 | 0.0234 | 0.0233
70,handwriting | writing | letter | reading | letters | typing | children | tablet | recognition | childrens,0.0957 | 0.0733 | 0.0605 | 0.0419 | 0.0377 | 0.0251 | 0.0230 | 0.0209 | 0.0194 | 0.0184
71,ml | selfefficacy | therapists | motor learning | physical | education | physical therapists | implementation | practice | principles,0.0446 | 0.0297 | 0.0269 | 0.0237 | 0.0215 | 0.0206 | 0.0205 | 0.0203 | 0.0193 | 0.0183
72,itbs | ctbs | tbs | theta burst | theta | burst | burst stimulation | stimulation | m1 | intermittent,0.0675 | 0.0450 | 0.0420 | 0.0383 | 0.0345 | 0.0344 | 0.0327 | 0.0280 | 0.0255 | 0.0245
73,recovery | stroke | motor recovery | ischemic | infarct | plasticity | reorganization | brain | neural plasticity | injury,0.0477 | 0.0287 | 0.0277 | 0.0261 | 0.0257 | 0.0236 | 0.0216 | 0.0204 | 0.0183 | 0.0180
74,cerebellar | cerebellum | cerebellar function | timing | cognition | functions | function | hypothesis | cerebellar cortex | model,0.0534 | 0.0515 | 0.0178 | 0.0177 | 0.0175 | 0.0156 | 0.0155 | 0.0148 | 0.0147 | 0.0141
75,abstract available | sep abstract | abstract | available | motor control | reinforcement | final | motor learning | control motor | chapter,0.0767 | 0.0686 | 0.0614 | 0.0543 | 0.0271 | 0.0262 | 0.0261 | 0.0258 | 0.0249 | 0.0246
76,massed | massed practice | rest | sec | distributed practice | practice | distributed | distribution practice | distribution | psycinfinityo database,0.0647 | 0.0546 | 0.0530 | 0.0521 | 0.0465 | 0.0455 | 0.0423 | 0.0368 | 0.0296 | 0.0250
77,gait | biofeedback | feedback | gait training | realtime | gait retraining | cadence | retraining | symmetry | poststroke,0.0789 | 0.0731 | 0.0193 | 0.0166 | 0.0143 | 0.0141 | 0.0140 | 0.0138 | 0.0137 | 0.0133
78,aiming | tremor | afferent information | movement | movements | visual | information | hand | eye | afferent,0.0399 | 0.0298 | 0.0272 | 0.0268 | 0.0259 | 0.0242 | 0.0231 | 0.0225 | 0.0221 | 0.0220
79,mvf | mirror | observation | action observation | ao | action | therapy | stroke | patients | hand,0.0627 | 0.0476 | 0.0295 | 0.0273 | 0.0241 | 0.0231 | 0.0202 | 0.0198 | 0.0181 | 0.0168
80,quiet eye | quiet | eye | qe | gaze | duration | focus | putting | throw | throwing,0.0798 | 0.0788 | 0.0553 | 0.0431 | 0.0360 | 0.0266 | 0.0234 | 0.0224 | 0.0214 | 0.0190
81,coordination | relative phase | pattern | bimanual | 90 | bimanual coordination | phase | coordination pattern | relative | coordination dynamics,0.0607 | 0.0515 | 0.0434 | 0.0391 | 0.0371 | 0.0359 | 0.0349 | 0.0337 | 0.0331 | 0.0284
82,selfcontrolled | yoked | selfcontrol | selfcontrolled feedback | feedback | sc | selfcontrolled practice | yoked group | feedback schedules | learners,0.0897 | 0.0543 | 0.0529 | 0.0443 | 0.0395 | 0.0313 | 0.0281 | 0.0266 | 0.0248 | 0.0234
83,dopamine | m1 | striatal | dopaminergic | vta | striatum | da | neurons | d1 | pd,0.0488 | 0.0427 | 0.0383 | 0.0357 | 0.0354 | 0.0244 | 0.0237 | 0.0214 | 0.0213 | 0.0193
84,deliberate practice | deliberate | practice | music | expertise | sport | embodied | expert | performers | philosophy,0.0657 | 0.0628 | 0.0374 | 0.0361 | 0.0304 | 0.0299 | 0.0282 | 0.0259 | 0.0249 | 0.0216
85,rtms | stroke | nibs | stimulation | repetitive transcranial | transcranial | transcranial magnetic | magnetic stimulation | stroke patients | patients,0.0596 | 0.0397 | 0.0383 | 0.0360 | 0.0277 | 0.0266 | 0.0257 | 0.0251 | 0.0243 | 0.0230
86,sonification | movement sonification | auditory | sound | movement | information | sounds | realtime | characters | perception,0.1357 | 0.0537 | 0.0326 | 0.0294 | 0.0289 | 0.0196 | 0.0192 | 0.0186 | 0.0184 | 0.0174
87,feedback | auditory feedback | auditory | augmented | augmented feedback | visual feedback | visual | af | audio | concurrent,0.0626 | 0.0425 | 0.0423 | 0.0394 | 0.0366 | 0.0275 | 0.0272 | 0.0256 | 0.0171 | 0.0168
88,myelin | myelination | oligodendrocytes | oligodendrocyte | neuronal activity | neuronal | nervous | cns | plasticity | adult,0.1359 | 0.0704 | 0.0665 | 0.0616 | 0.0248 | 0.0239 | 0.0232 | 0.0211 | 0.0211 | 0.0207
89,ataxia | cerebellar | degenerative | cerebellar ataxia | patients | cerebellar disease | cerebellum | spinocerebellar | symptoms | disease,0.0905 | 0.0505 | 0.0466 | 0.0303 | 0.0243 | 0.0227 | 0.0221 | 0.0207 | 0.0195 | 0.0187
90,neglect | prism | prism adaptation | prisms | adaptation | rightward | spatial | leftward | pa | visual,0.1020 | 0.0855 | 0.0796 | 0.0459 | 0.0448 | 0.0333 | 0.0318 | 0.0316 | 0.0286 | 0.0246
91,stroke | implicit | explicit | implicit motor | patients | chronic | motor learning | learning | poststroke | explicit motor,0.0380 | 0.0304 | 0.0248 | 0.0176 | 0.0168 | 0.0155 | 0.0151 | 0.0149 | 0.0146 | 0.0144
92,speech | stuttering | stutter | pws | speech motor | syllables | adults stutter | fluent | aws | pns,0.0663 | 0.0656 | 0.0604 | 0.0437 | 0.0424 | 0.0422 | 0.0334 | 0.0272 | 0.0252 | 0.0187
93,conditional | associations | arbitrary | monkeys | premotor | mappings | premotor cortex | cortex | visuomotor | prefrontal,0.0592 | 0.0493 | 0.0491 | 0.0328 | 0.0293 | 0.0273 | 0.0252 | 0.0237 | 0.0237 | 0.0231
94,gaba | gaba levels | levels | glx | resonance spectroscopy | neurochemical | spectroscopy | magnetic resonance | resonance | mrs,0.1257 | 0.0559 | 0.0374 | 0.0292 | 0.0284 | 0.0235 | 0.0224 | 0.0206 | 0.0196 | 0.0175
95,rats | forelimb | reaching | mice | automated | pellet | rotarod | skilled | rodents | rodent,0.0417 | 0.0301 | 0.0282 | 0.0257 | 0.0250 | 0.0222 | 0.0212 | 0.0209 | 0.0159 | 0.0158
96,glur2 | glutamate | glutamate receptor | receptor | cells | purkinje cells | expressed | synapses | domain | purkinje,0.1929 | 0.0710 | 0.0649 | 0.0578 | 0.0452 | 0.0410 | 0.0409 | 0.0402 | 0.0363 | 0.0362
97,schema | schema theory | theory | 1975 | variability practice | variability | practice | variable | transfer | discrete motor,0.1188 | 0.0954 | 0.0598 | 0.0430 | 0.0255 | 0.0243 | 0.0234 | 0.0215 | 0.0207 | 0.0194
98,haptic | device | rehabilitation | robotic | rendering | hand | virtual | design | robot | compensation,0.0494 | 0.0324 | 0.0287 | 0.0256 | 0.0215 | 0.0176 | 0.0174 | 0.0157 | 0.0152 | 0.0147
99,memory | reconsolidation | interference | retrieval | memories | reactivation | motor memory | memory trace | memory retrieval | trace,0.0797 | 0.0663 | 0.0630 | 0.0329 | 0.0311 | 0.0305 | 0.0297 | 0.0255 | 0.0254 | 0.0240
100,children | cp | cerebral palsy | palsy | children cp | children cerebral | cerebral | game | intervention | cit,0.0441 | 0.0387 | 0.0256 | 0.0256 | 0.0244 | 0.0218 | 0.0213 | 0.0190 | 0.0160 | 0.0154
101,cerebellar | spiking | model | cerebellum | neural | artificial | network | realtime | vor | network model,0.0503 | 0.0376 | 0.0339 | 0.0268 | 0.0258 | 0.0231 | 0.0225 | 0.0220 | 0.0190 | 0.0179
102,cognitive restructuring | restructuring | cbt | cognitive | dp | cognitive flexibility | depression | flexibility | therapy | deliberate practice,0.1018 | 0.0999 | 0.0705 | 0.0567 | 0.0554 | 0.0461 | 0.0360 | 0.0360 | 0.0292 | 0.0274
103,balance | balance task | balance training | confidence | balance tasks | training | task | st | adults | falling,0.0986 | 0.0304 | 0.0247 | 0.0196 | 0.0192 | 0.0187 | 0.0161 | 0.0155 | 0.0155 | 0.0154
104,coop | occupational performance | occupational | cognitive orientation | orientation daily | daily occupational | performance coop | orientation | children | approach,0.1549 | 0.0781 | 0.0726 | 0.0661 | 0.0624 | 0.0624 | 0.0507 | 0.0501 | 0.0400 | 0.0371
105,exoskeleton | ankle | assistance | soleus | powered | walking | muscle | orthosis | gait | exoskeletons,0.1031 | 0.0529 | 0.0412 | 0.0407 | 0.0362 | 0.0309 | 0.0298 | 0.0284 | 0.0248 | 0.0226
106,game | games | expertise | cognitive science | video | priority | cognitive | data | video games | players,0.0580 | 0.0398 | 0.0280 | 0.0236 | 0.0222 | 0.0218 | 0.0215 | 0.0212 | 0.0203 | 0.0176
107,interpolated | recall | shortterm motor | shortterm | location | criterion | biasing | motor memory | interval | memory,0.0688 | 0.0617 | 0.0557 | 0.0451 | 0.0427 | 0.0360 | 0.0355 | 0.0354 | 0.0325 | 0.0318
108,children | developmental coordination | coordination disorder | dcd | disorder | children developmental | developmental | intervention | coordination | taskoriented,0.0466 | 0.0460 | 0.0460 | 0.0430 | 0.0403 | 0.0361 | 0.0349 | 0.0324 | 0.0287 | 0.0261
109,foxp2 | language | expression | transcription | gene | speech language | speech | vocal | mutations | mutation,0.2112 | 0.0457 | 0.0432 | 0.0427 | 0.0405 | 0.0390 | 0.0361 | 0.0322 | 0.0310 | 0.0294
110,postural | anticipatory postural | anticipatory | apas | postural control | arm | unloading | adjustments | standing | forearm,0.0890 | 0.0474 | 0.0447 | 0.0393 | 0.0326 | 0.0261 | 0.0233 | 0.0224 | 0.0224 | 0.0220
111,tdcs | ctdcs | cerebellar tdcs | anodal | cerebellar | cerebellar transcranial | direct current | stimulation | transcranial direct | current stimulation,0.0542 | 0.0487 | 0.0441 | 0.0340 | 0.0314 | 0.0267 | 0.0261 | 0.0256 | 0.0256 | 0.0254
112,consolidation | memory | hippocampal | breaks | memory consolidation | rest | offline | hippocampus | motor memory | reactivation,0.0573 | 0.0364 | 0.0330 | 0.0326 | 0.0288 | 0.0286 | 0.0249 | 0.0241 | 0.0234 | 0.0221
113,biofeedback | wearable | feedback | vibrotactile | realtime | balance | biomechanical | homebased | sensing | exercises,0.0814 | 0.0468 | 0.0316 | 0.0302 | 0.0262 | 0.0208 | 0.0200 | 0.0193 | 0.0189 | 0.0183
114,lurcher | mutants | mice | mutant | mutant mice | equilibrium | cerebellar | mice sep | degeneration | rotorod,0.1415 | 0.1003 | 0.0936 | 0.0678 | 0.0640 | 0.0442 | 0.0369 | 0.0320 | 0.0285 | 0.0283
115,goal | goal setting | setting | goals | selfefficacy | motivation | selfcontrolled | assigned | anxiety | trait,0.0876 | 0.0571 | 0.0439 | 0.0403 | 0.0286 | 0.0235 | 0.0196 | 0.0156 | 0.0152 | 0.0146
116,injury | plasticity | spinal cord | cord | spinal | recovery | cortical | cord injury | reorganization | following,0.0526 | 0.0401 | 0.0388 | 0.0386 | 0.0378 | 0.0366 | 0.0358 | 0.0316 | 0.0314 | 0.0237
117,adhd | ts | sequence | gains | procedural | consolidation | consolidation phase | children | memory | procedural memory,0.0812 | 0.0606 | 0.0331 | 0.0291 | 0.0268 | 0.0251 | 0.0235 | 0.0226 | 0.0223 | 0.0220
118,language | automatization | l2 | automaticity | grammar | practice | second | theory | comprehension | massed,0.0932 | 0.0577 | 0.0577 | 0.0452 | 0.0437 | 0.0418 | 0.0407 | 0.0388 | 0.0356 | 0.0311
119,reward | punishment | reward punishment | rewards | motivation | motor skill | monetary | reinforcement | choice | left arm,0.0941 | 0.0601 | 0.0378 | 0.0246 | 0.0187 | 0.0181 | 0.0177 | 0.0163 | 0.0162 | 0.0152
120,tacs | alternating current | transcranial alternating | hz | alternating | oscillatory | stimulation | sham | current stimulation | stimulation tacs,0.1235 | 0.0407 | 0.0395 | 0.0355 | 0.0351 | 0.0351 | 0.0264 | 0.0233 | 0.0229 | 0.0216
121,noradrenergic | excitability | placebo | plasticity | norepinephrine | drugs | dose | usedependent | cortical excitability | usedependent plasticity,0.0378 | 0.0367 | 0.0348 | 0.0315 | 0.0309 | 0.0245 | 0.0238 | 0.0238 | 0.0238 | 0.0227
122,transfer | effectors | interlimb | interlimb transfer | distal | limbs | proximal | leg | bimanual | asymmetric,0.0721 | 0.0494 | 0.0364 | 0.0348 | 0.0299 | 0.0282 | 0.0281 | 0.0251 | 0.0225 | 0.0198
